,id,externalchannelname,incidentdate,classificationid,createdatetime,priority,ciscaseid,crmcaseid,crmcasestatus,ciscasestatus,histclusterid,retiredate,externalchannelid,externalchannelincidentid,clusterid,month,municipalityid,submunicipalityid,coordinatex,coordinatey,numberofunits
508,107880,GEOTECH,2023-05-23 00:00:00,NSPCL-31,2023-07-10 19:25:43,Low (0%-10%),,INC-23-10-180901,Closed,,b636642d8f7385d6_NSPCL-31,2024-02-01 00:00:00,002,GT_VD_1419708_31,18b90a69b968bf04_NSPCL-31,5,008001,008001068,43.893872,26.355636,1
509,108448,GEOTECH,2023-05-23 00:00:00,NSPCL-5,2023-07-10 19:25:43,Low (0%-10%),,,Retired,Retired,ff0fdad9b9e77991_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1474606_5,c1c1279f9fce72a0_NSPCL-5,5,008001,008001068,43.857033,26.385881,1
510,109074,GEOTECH,2023-05-23 00:00:00,NSPCL-5,2023-07-10 19:25:44,Low (0%-10%),,,Retired,Retired,0d8c8d7e78c8ec80_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1475259_5,d697c73e0feb9d46_NSPCL-5,5,008001,008001068,43.869361,26.391103,7
511,114778,GEOTECH,2023-05-24 00:00:00,NSPCL-5,2023-07-10 19:25:47,,,,Retired,Retired,727b043cca21df4d_NSPCL-5,2024-02-01 00:00:00,002,GT_VD_1544885_5,72c477adb47e69a5_NSPCL-5,5,008001,008713,44.018253,26.539372,1
512,79837,GEOTECH,2023-05-24 00:00:00,NSPCL-5,2023-06-13 09:30:50,Low (0%-10%),,,Retired,Retired,80a0458f0819fb4d_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1565196_5,312dded305350d05_NSPCL-5,5,008001,008001067,43.997669,26.335319,1
513,80489,GEOTECH,2023-05-21 00:00:00,NSPCL-5,2023-06-13 09:30:50,,,,Retired,Retired,065a6dbbb52383f9_NSPCL-5,2024-01-01 00:00:00,002,GT_VD_1329554_5,77c84c3bb78c99d7_NSPCL-5,5,008001,008710,43.369739,25.842508,3
514,97183,GEOTECH,2023-05-23 00:00:00,NSPCL-31,2023-06-13 09:30:58,Low (0%-10%),,INC-24-01-164944,Closed,New,47871a03e9055070_NSPCL-31,2024-05-07 13:20:51,002,GT_VD_1527549_31,882c37c04b8ea8c0_NSPCL-31,5,008001,008001562,44.0304,26.319017,1
515,97212,GEOTECH,2023-05-23 00:00:00,NSPCL-5,2023-06-13 09:30:58,Low (0%-10%),,,Retired,Retired,2b9aff4cfde7e071_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1476789_5,02b81cbd678dabe6_NSPCL-5,5,008001,008001068,43.860806,26.3893,1
516,95419,GEOTECH,2023-05-23 00:00:00,NSPCL-5,2023-06-13 09:30:57,Low (0%-10%),,,Retired,Retired,aa80de82967ca417_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1474887_5,859499f8abf7984f_NSPCL-5,5,008001,008001068,43.857106,26.385094,1
517,100737,GEOTECH,2023-05-23 00:00:00,NSPCL-5,2023-06-13 09:31:00,Low (0%-10%),,,Retired,Retired,8aca8248e694abda_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1472503_5,d944acef8f7fa8c4_NSPCL-5,5,008001,008001068,43.859775,26.388181,1
518,100748,GEOTECH,2023-05-24 00:00:00,NSPCL-31,2023-06-13 09:31:00,,,,Retired,Retired,0490d3cf07986bea_NSPCL-31,2023-07-01 00:00:00,002,GT_VD_1534261_31,5b253e35a174c112_NSPCL-31,5,008001,008301,44.214006,26.781569,1
519,65163,GEOTECH,2023-05-20 00:00:00,NSPCL-23,2023-06-13 09:30:41,Low (0%-10%),,INC-23-08-041033,Retired,Retired,bb249611c558c692_NSPCL-23,2023-12-01 00:00:00,002,GT_VD_1265133_23,6015e89b0e29bdc0_NSPCL-23,5,008001,008202,43.659539,26.140275,2
520,100151,GEOTECH,2023-05-24 00:00:00,NSPCL-5,2023-06-13 09:31:00,Low (0%-10%),,,Retired,Retired,b70ad4c18ffd7642_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1564914_5,e240445826dc5b1a_NSPCL-5,5,008001,008001067,43.987264,26.341397,1
521,54452,GEOTECH,2023-04-17 00:00:00,NSPCL-69,2023-05-29 21:04:00,Low (0%-10%),,,Retired,Retired,981f452793a1eed8_NSPCL-69,2023-12-01 00:00:00,002,GT_VD_791410_69,4c00be7da9f6184b_NSPCL-69,4,008001,008303,43.533478,26.070128,1
522,82401,GEOTECH,2023-05-21 00:00:00,NSPCL-23,2023-06-13 09:30:51,Medium (10%-40%),,,Retired,Retired,cf94e57f8e20a3b7_NSPCL-23,2024-01-01 00:00:00,002,GT_VD_1289333_23,c913e8a28611fc2b_NSPCL-23,5,008001,008603,42.202044,25.832664,6
523,110007,GEOTECH,2023-05-26 00:00:00,NSPCL-29,2023-07-10 19:25:44,Low (0%-10%),,INC-23-10-087473,Retired,Retired,927d093507afb4fe_NSPCL-29,2024-01-01 00:00:00,002,GT_VD_1707478_29,9cda0d1718a3c15d_NSPCL-29,5,008001,008001067,43.954533,26.327583,1
524,104951,GEOTECH,2023-05-23 00:00:00,NSPCL-71,2023-07-10 19:25:42,Low (0%-10%),,,Retired,Retired,e7eaa47c25e1ce68_NSPCL-71,2023-07-01 00:00:00,002,GT_VD_1417155_71,9be91c00385555dc_NSPCL-71,5,008001,008001068,43.891528,26.381994,1
525,106680,GEOTECH,2023-05-23 00:00:00,NSPCL-31,2023-07-10 19:25:43,Low (0%-10%),,,Retired,Retired,dcf360e9e596a1ea_NSPCL-31,2023-09-01 00:00:00,002,GT_VD_1520584_31,bf592ec485842d13_NSPCL-31,5,008001,008001562,44.017114,26.328444,1
526,109090,GEOTECH,2023-05-27 00:00:00,NSPCL-5,2023-07-10 19:25:44,Low (0%-10%),,,Retired,Retired,bcb74c62b1b565ef_NSPCL-5,2023-09-01 00:00:00,002,GT_VD_1709437_5,fc913ba7eb7a0a38_NSPCL-5,5,008001,008001068,43.950317,26.357789,1
527,116071,GEOTECH,2023-05-26 00:00:00,NSPCL-29,2023-07-10 19:25:47,Low (0%-10%),,,Retired,Retired,dfcfad221060954f_NSPCL-29,2023-07-01 00:00:00,002,GT_VD_1703234_29,3cba010e2109e2c6_NSPCL-29,5,008001,008001068,43.923736,26.401167,2
528,112504,GEOTECH,2023-05-24 00:00:00,NSPCL-29,2023-07-10 19:25:46,,,INC-23-10-181728,Closed,,c5d7039c3e857416_NSPCL-29,2024-02-01 00:00:00,002,GT_VD_1542215_29,b9bd2508596e51a4_NSPCL-29,5,008001,008702,44.329033,27.366572,1
529,112517,GEOTECH,2023-05-23 00:00:00,NSPCL-29,2023-07-10 19:25:46,Low (0%-10%),,INC-23-10-124494,Retired,Retired,8c42d228f39063fa_NSPCL-29,2023-09-01 00:00:00,002,GT_VD_1469261_29,4fad8b685b9728e3_NSPCL-29,5,008001,008001068,43.851281,26.375175,1
